meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
MP147,製程用電,Fab2,Fab12,一樓更衣室,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-LP2-1（TR1ZAP1),照明插座,Fab3,Fab3,應急照明,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP253(FAB2)2F-TDB-20,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP123(FAB2)B1ME1,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
CR-MP9,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP363(FAB2)DIW,純水用電,Fab2,Fab12,純水5,20220519095229_02e064cd16a944128c90118f8081c77e
MP267,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP553(純水),純水用電,Fab3,Fab3,純水,20220519095229_02e064cd16a944128c90118f8081c77e
K108(TR5),高壓變壓器,Fab3,Fab3,高壓變壓器5,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP546(FAB2)DT5,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
3#（緯潤2冰機）(250/5)*50,空調用電,Fab3,Fab3,緯潤2冰機,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-1(變壓器）,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP32,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
FFU3-1,空調用電,Fab3,Fab3,FFU（3F無塵室）,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP162(FAB2)E-FFU,空調用電,Fab2,Fab12,1F FFU,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP342(FAB2)3F-TDB-11,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP166,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
RACP1-5(TR4） 樓頂MAU,空調用電,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP541(FAB2)ML32,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
TR-CR3,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP464,QE用電,Fab2,Fab12,IQC,20220519095229_02e064cd16a944128c90118f8081c77e
餐廳照明插座,基礎用電,Fab1,Fab12,餐廳照明插座,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP365(FAB2)3F-PDP-MP1,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
2AT10,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP74,,Fab3,Fab3,1F/3F無塵設備總表,20220519095229_02e064cd16a944128c90118f8081c77e
UPSLP1-3（TR1ZAP1),照明插座,Fab3,Fab3,應急照明,20220519095229_02e064cd16a944128c90118f8081c77e
