meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
DB_MP133(FAB2)1F-TDB-10,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP555,純水用電,Fab2,Fab12,純水,20220519095229_02e064cd16a944128c90118f8081c77e
ZP3-1,製程用電,Fab3,Fab3,3F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
TR4,高壓變壓器,Fab2,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP355(FAB2)3F-TDB-25,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP135(FAB2)CDA3,空壓用電,Fab2,Fab12,Fab2棟3#,20220519095229_02e064cd16a944128c90118f8081c77e
MP131,製程用電,Fab2,Fab12,1F設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP552(FAB2)3F-TDB-15,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP243(FAB2)2F-TDB-11,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP463(FAB2)EPDP-PV,真空排氣,Fab2,Fab12,真空,20220519095229_02e064cd16a944128c90118f8081c77e
MP12,基礎用電,Fab2,Fab12,地下室水泵,20220519095229_02e064cd16a944128c90118f8081c77e
照明,照明插座,Fab1,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP233,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP454(AHU西側),空調用電,Fab3,Fab3,AHU1~3,20220519095229_02e064cd16a944128c90118f8081c77e
2FMP13,空調用電,Fab2,Fab12,2F空調,20220519095229_02e064cd16a944128c90118f8081c77e
TR2,高壓變壓器,Fab2,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP283(FAB2)RF-BXH,真空排氣,Fab2,Fab12,排氣,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP281(FAB2)2F-EPDP-MP1,空調用電,Fab2,Fab12,2F FFU,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP531(FAB2)CDA4,空壓用電,Fab2,Fab12,Fab2棟4#,20220519095229_02e064cd16a944128c90118f8081c77e
MP444,空壓用電,Fab2,Fab12,Fab2棟1#,20220519095229_02e064cd16a944128c90118f8081c77e
MP331,空調用電,Fab2,Fab12,MAU,20220519095229_02e064cd16a944128c90118f8081c77e
MP23,空壓用電,Fab1,Fab12,Fab2棟5#.6#,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP134(FAB2)PF,基礎用電,Fab2,Fab12,消防,20220519095229_02e064cd16a944128c90118f8081c77e
MP548,純水用電,Fab2,Fab12,純水,20220519095229_02e064cd16a944128c90118f8081c77e
MP64,,Fab3,Fab3,1F無塵設備總表,20220519095229_02e064cd16a944128c90118f8081c77e
MP541,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-8,製程用電,Fab3,Fab3,製程用電,20220519095229_02e064cd16a944128c90118f8081c77e
ZFL-2F（4#）,,Fab3,Fab3,照明及FFU總盤,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP254(FAB2)2F-TDB-19,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP365,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-2,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
TR6,高壓變壓器,Fab2,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP356(FAB2)3F-TDB-21,製程用電,Fab2,Fab12,3F脫泡室,20220519095229_02e064cd16a944128c90118f8081c77e
MP133,製程用電,Fab2,Fab12,1F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP343,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
CR-MP12,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
ACP3-1 (TR3)不良品倉AHU,空調用電,Fab3,Fab3,AHU,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP332(FAB2)CR7,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
ACP1-1-2(4#)1F MAU機房,空調用電,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP465(FAB2)BATTERY,基礎用電,Fab2,Fab12,電池,20220519095229_02e064cd16a944128c90118f8081c77e
TR－3,高壓變壓器,Fab1,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-FFU3-1（TR1ZAP1),空調用電,Fab3,Fab3,FFU（3F無塵室）,20220519095229_02e064cd16a944128c90118f8081c77e
TR5,高壓變壓器,Fab2,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
F2Fab21-TDFab2-9,製程用電,Fab3,Fab3,3F車間設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP364(FAB2)3F-PDP-MP2,空調用電,Fab2,Fab12,3F 空調,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP131(FAB2)1F-TDB-MP1,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP251(FAB2)2F-TDB-23,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP161(FAB2)B1BQ1,基礎用電,Fab2,Fab12,潛伏泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP344,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP21,,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP267(FAB2)MP26-ML22,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
 ZAPI(1#)1F應急照明及FFU盤,,Fab3,Fab3,1F應急照明&FFU總盤,20220519095229_02e064cd16a944128c90118f8081c77e
LP1-3,照明插座,Fab3,Fab3,照明,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP466(FAB2)UPS,基礎用電,Fab2,Fab12,UPS,20220519095229_02e064cd16a944128c90118f8081c77e
UPSZP3-4,製程用電,Fab3,Fab3,無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
FFU3-2（1號變壓器）維修室FFU,空調用電,Fab3,Fab3,FFU,20220519095229_02e064cd16a944128c90118f8081c77e
研磨,純水用電,Fab1,Fab12,純水回收水,20220519095229_02e064cd16a944128c90118f8081c77e
TR7,高壓變壓器,Fab2,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
1A Fab2US1,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-20,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP22,空壓用電,Fab1,Fab12,A棟4#,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-24,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP122,製程用電,Fab2,Fab12,1F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP122（備用）,,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
ACP1-1-1(2#)1F MAU機房,空調用電,Fab3,Fab3,MAU1~3,20220519095229_02e064cd16a944128c90118f8081c77e
MP451（3冰機),空調用電,Fab3,Fab3,冰機3#,20220519095229_02e064cd16a944128c90118f8081c77e
MP146,QE用電,Fab2,Fab12,RA試驗室,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP146(FAB2)RA,QE用電,Fab2,Fab12,RA試驗室,20220519095229_02e064cd16a944128c90118f8081c77e
MP546,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
MP265,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
FFU,空調用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP546(風冷熱泵),空調用電,Fab3,Fab3,風冷熱泵,20220519095229_02e064cd16a944128c90118f8081c77e
CAD-5 (TR3)樓頂 吸幹機,空壓用電,Fab3,Fab3,吸乾機,20220519095229_02e064cd16a944128c90118f8081c77e
MP531,空壓用電,Fab2,Fab12,Fab2棟4#,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP132(FAB2)1F-TDB-11,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP544(FAB2)ME31,基礎用電,Fab2,Fab12,消防,20220519095229_02e064cd16a944128c90118f8081c77e
MP258,製程用電,Fab2,Fab12,設備備用,20220519095229_02e064cd16a944128c90118f8081c77e
生活排汙泵,基礎用電,Fab1,Fab12,排汙泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP141,製程用電,Fab2,Fab12,1F設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP143(FAB2)1F PANEL_1_2,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
TR-CR2,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
LP1-2,照明插座,Fab3,Fab3,照明,20220519095229_02e064cd16a944128c90118f8081c77e
1FAT01,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP381,光伏用電,Fab2,Fab12,光伏,20220519095229_02e064cd16a944128c90118f8081c77e
MP311（空壓4#）,空壓用電,Fab3,Fab3,空壓機4#,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP461(FAB2)DIW,純水用電,Fab2,Fab12,純水3,20220519095229_02e064cd16a944128c90118f8081c77e
TR－2,高壓變壓器,Fab1,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
MP261,製程用電,Fab2,Fab12,風淋門/烘乾機,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-LP1-2（TR1ZAP1),照明插座,Fab3,Fab3,應急照明,20220519095229_02e064cd16a944128c90118f8081c77e
1A TO3,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
餐廳新增（1#）,基礎用電,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
MP355,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP121(FAB2)1F-TDB-07,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
UPSZP3-2,製程用電,Fab3,Fab3,無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
XL-1（1F一期無塵室）,空調用電,Fab1,Fab12,1F無塵室,20220519095229_02e064cd16a944128c90118f8081c77e
MP165,純水用電,Fab2,Fab12,純水,20220519095229_02e064cd16a944128c90118f8081c77e
UPSZP3-3,製程用電,Fab3,Fab3,無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP136,製程用電,Fab2,Fab12,TR-CR4,20220519095229_02e064cd16a944128c90118f8081c77e
MP545（3F維修區設備）,製程用電,Fab3,Fab3,3F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP257,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP544（風冷熱泵),空調用電,Fab3,Fab3,風冷熱泵,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-FFU3-2,空調用電,Fab3,Fab3,3F車間FFU,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-LP3-2,空調用電,Fab3,Fab3,3F車間FFU,20220519095229_02e064cd16a944128c90118f8081c77e
MP441（2#冰機),空調用電,Fab3,Fab3,冰機2#,20220519095229_02e064cd16a944128c90118f8081c77e
MP442（1#冰機),空調用電,Fab3,Fab3,冰機1#,20220519095229_02e064cd16a944128c90118f8081c77e
MP242,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP545(FAB2)DT4,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
3FMP13,空調用電,Fab2,Fab12,3F空調,20220519095229_02e064cd16a944128c90118f8081c77e
2A T05,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP356,製程用電,Fab2,Fab12,3F脫泡室,20220519095229_02e064cd16a944128c90118f8081c77e
ACP1-2-1(4#)1F MAU機房,空調用電,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
MP534,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP551（冷卻水泵),空調用電,Fab3,Fab3,冷卻塔，冷卻水泵,20220519095229_02e064cd16a944128c90118f8081c77e
ZP3-6（TR3#）無塵室設備,製程用電,Fab3,Fab3,3F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
ACP1-2-2(4#)1F MAU機房,空調用電,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
ZFL-1F（TR2）車間設備,,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
1A T02,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
K104(TR1),高壓變壓器,Fab3,Fab3,高壓變壓器1,20220519095229_02e064cd16a944128c90118f8081c77e
變壓器,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP144(FAB2)B1MAC1,空調用電,Fab2,Fab12,1F空調,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-LP3-1（TR1ZAP1),照明插座,Fab3,Fab3,應急照明,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP444(FAB2)CDA1,空壓用電,Fab2,Fab12,Fab2棟1#,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP553(FAB2)DPY,空壓用電,Fab2,Fab12,吸乾機,20220519095229_02e064cd16a944128c90118f8081c77e
MP162,空調用電,Fab2,Fab12,1F FFU,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-6,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP541(無塵室設備),製程用電,Fab3,Fab3,ZP1-15無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP266(FAB2)ML21,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
PE231,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP462(FAB2)BIPI,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP552(熱水泵),空調用電,Fab3,Fab3,熱水泵，幹盤管泵，真空泵,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP358(FAB2)3F-TDB-18,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
1A Fab2US2,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP167(FAB2)ML12,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP31（受電櫃/緯潤),,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
MP264,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-13,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP553,空壓用電,Fab2,Fab12,吸乾機,20220519095229_02e064cd16a944128c90118f8081c77e
MP441,空壓用電,Fab2,Fab12,Fab2棟2#,20220519095229_02e064cd16a944128c90118f8081c77e
K109(TR6),高壓變壓器,Fab3,Fab3,高壓變壓器6,20220519095229_02e064cd16a944128c90118f8081c77e
3FMP12,空調用電,Fab2,Fab12,3F空調,20220519095229_02e064cd16a944128c90118f8081c77e
北加濕,空調用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP545,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
ＰＥ２Ｆ－１,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
1#空壓機,空壓用電,Fab1,Fab12,A棟1#,20220519095229_02e064cd16a944128c90118f8081c77e
ＰＡＣ２Ｆ－R1,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP362(FAB2)DIW,純水用電,Fab2,Fab12,純水4,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP354(FAB2)3F-TDB-17,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP351,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP168,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP266,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
ZP3-2,製程用電,Fab3,Fab3,3F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP556,空調用電,Fab2,Fab12,水塔,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP548(FAB2)DIW,純水用電,Fab2,Fab12,純水2,20220519095229_02e064cd16a944128c90118f8081c77e
MP432,空壓用電,Fab2,Fab12,MP432,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP361(FAB2)3F-TDB-26,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
