fab,factory,date,line,wisdom_batch_id
Fab2,F60,2020/7/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2019/1/1,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2021/6/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2020/9/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2019/2/25,5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/7/29,2,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2019/5/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2020/3/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2021/10/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2020/7/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2021/2/1,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2019/4/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/3/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2019/1/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2020/10/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2020/8/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2021/11/13,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2019/1/27,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2021/9/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2021/8/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2019/3/29,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2021/6/8,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2021/11/21,0,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2021/2/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/7/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2019/6/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2021/10/17,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2021/4/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2019/9/16,3,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2019/8/21,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2019/5/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2020/2/14,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2019/1/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2019/6/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2021/11/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2020/6/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/4/22,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/8/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2019/10/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2020/5/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2021/10/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/3/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2020/4/19,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2021/4/13,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2022/1/19,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2022/2/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2021/5/28,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2021/7/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
