meter,type,fab,fab_group,meter_name
DB_MP42(FAB2)CH3,空調用電,Fab2,Fab12,3號冰機
MP164,基礎用電,Fab2,Fab12,電梯
DB_MP136(FAB2)TR-CR4,製程用電,Fab2,Fab12,備用
ZMP1-1（1#變壓器）車間工作桌,製程用電,Fab3,Fab3,1F無塵室設備
ZP1-4,製程用電,Fab3,Fab3,1F無塵室設備
TR-MP13,製程用電,Fab1,Fab12,A棟設備
DB_MP164(FAB2)DT6,基礎用電,Fab2,Fab12,電梯
MP361,製程用電,Fab2,Fab12,3F設備
K106(TR3),高壓變壓器,Fab3,Fab3,高壓變壓器3
K110(TR7),高壓變壓器,Fab3,Fab3,高壓變壓器7
維修室制程盤,製程用電,Fab3,Fab3,3F維修室
RACP1-8 (TR3) 樓頂MAU,空調用電,Fab3,Fab3,熱水系統
DB_MP258(FAB2)TR-CR5,製程用電,Fab2,Fab12,備用
MP431,空調用電,Fab2,Fab12,1號冰機
101,總電錶,Fab12,Fab12,總表
MP342,製程用電,Fab2,Fab12,3F設備
MP42,空調用電,Fab2,Fab12,3號冰機
ZP3-4,製程用電,Fab3,Fab3,3F無塵室設備
MP145,照明插座,Fab2,Fab12,照明
DB_MP166(FAB2)E-ML,照明插座,Fab2,Fab12,照明
DB_MP441(FAB2)CDA2,空壓用電,Fab2,Fab12,Fab2棟2#
